"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"C12";"100u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"14";"C";
"CHAN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"CHAN_A1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"CHAN_A2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"CHAN_A3";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"CHAN_B1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"CHAN_B3";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"CHAN_C1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"CHAN_C2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"CHAN_C3";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"CLN_GAIN";"1kC";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"CLN_VOL";"100kA";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"C_TRIM";"100k";"TRIM_US-B25P";"B25P";"POTENTIOMETER";"";"";"";"";"";"";"";"";
"D1";"";"DO41.3";"DO41-3";"1N400x, 1N5817";"";"";"";"";"";"";"";"";
"D2";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";"";"";
"DIRT_VOL";"100kA";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"GAIN";"100kA";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"GND_IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"GND_OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"IC1";"LM386";"LM386";"DIP08";"LM386";"";"";"";"";"";"";"";"";
"IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"LED";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"MID";"2kB";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"Q1";"2N5457";"2N5457";"TO92";"2n5457, J201, MPF102";"";"";"";"";"";"";"";"";
"Q2";"2N5457";"2N5457";"TO92";"2n5457, J201, MPF102";"";"";"";"";"";"";"";"";
"Q3";"MMBFJ201";"MMBFJ201";"SOT95P240X120-3N";"N-Channel General Purpose Amplifier";"N-Channel General Purpose Amplifier";"1.2mm";"ON Semiconductor";"MMBFJ201";"512-MMBFJ201";"https://www.mouser.com/Search/Refine.aspx?Keyword=512-MMBFJ201";"";"";
"Q4";"MMBFJ201";"MMBFJ201";"SOT95P240X120-3N";"N-Channel General Purpose Amplifier";"N-Channel General Purpose Amplifier";"1.2mm";"ON Semiconductor";"MMBFJ201";"512-MMBFJ201";"https://www.mouser.com/Search/Refine.aspx?Keyword=512-MMBFJ201";"";"";
"R1";"1M";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R2";"100k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R3";"1k8";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R4";"4k7";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R5";"100k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R6";"1k8";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R7";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R10";"150R";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R11";"1M";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R12";"100R";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"RLED";"";"TRIM_US-B25P";"B25P";"POTENTIOMETER";"";"";"";"";"";"";"";"";
"SW";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"TREB";"25kB";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"VOICE";"";"SPDT.LUGS";"SPDT.LUGS";"SPDT Switches";"";"";"";"";"";"";"";"";
